Model;Scenario;Region;Variable;Unit;1970;1975;1980;1985;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070
IMAGE-GNMoct2020;SSP3_oct2020;1;sro_agri;Not specified;703052126.552;848120670.849;929737168.39;886933769.926;931412500.935;960624046.65;912566320.925;947356607.039;1011721710.45;1041933473.26;1142860971.37;1119456453.01;1208691748.07;1350827227.91;1391746255.34;1439565952.89;1358576847.39;1472536674.57;1628346085.65;1604310370.81;1687065678.69
IMAGE-GNMoct2020;SSP3_oct2020;2;sro_agri;Not specified;367157693.933;375729392.762;402015445.572;475837433.008;534090168.48;551739956.336;553836183.081;597929003.866;642136393.9;700827648.97;689490103.304;705117433.164;799079332.626;853773107.258;834126688.969;740747452.05;729624902.584;753577269.29;796743441.313;822420150.598;824948941.297
IMAGE-GNMoct2020;SSP3_oct2020;3;sro_agri;Not specified;503987229.561;502607064.319;534987609.075;507026495.955;437184577.08;451941961.745;406098506.871;406127500.854;444868351.526;364474946.139;389337340.37;349443880.9;383807039.532;470354738.797;404663122.89;441891989.153;392540229.057;400056264.297;471729213.059;376325957.213;448630948.814
IMAGE-GNMoct2020;SSP3_oct2020;1;weathering;Not specified;426540120.542;437489676.433;383514870.039;385769574.57;384892421.428;371760096.267;377144326.62;340292350.927;424139165.181;454162025.749;429856822.536;425428181.583;406432146.936;513506261.787;502401164.292;449062224.162;425642706.945;391264939.692;509539377.492;500740987.485;478438317.888
IMAGE-GNMoct2020;SSP3_oct2020;2;weathering;Not specified;137017650.53;157631970.948;120419486.451;119666036.997;129293828.656;118596819.2;143856929.113;130463981.872;132887677.199;150682421.458;146471509.792;174084638.164;264602780.147;248207861.888;234604919.897;173628467.611;179118033.991;177178493.194;227789116.997;203933011.131;216980262.514
IMAGE-GNMoct2020;SSP3_oct2020;3;weathering;Not specified;89862539.5183;98222174.7596;100594044.001;88458701.6473;93249394.7116;97586632.3735;95896831.4104;92642691.6404;108299130.574;97105893.9726;101126385.34;94589978.5719;93911359.7467;118581827.934;102903538.545;105251419.312;99938491.0596;100396636.721;121298207.632;104577488.392;108549770.96
IMAGE-GNMoct2020;SSP3_oct2020;1;pointsources;Not specified;118042984.537;150519563.481;178144696.026;201337381.463;223278506.787;261095814.775;292314140.873;324452358.423;372535534.776;434649092.005;488936756.902;545552120.1;614694598.663;700962894.339;760522357.789;830693652.944;853892488.135;965215235.365;1099293504.13;1164000473.02;1253816134.31
IMAGE-GNMoct2020;SSP3_oct2020;2;pointsources;Not specified;84219197.5677;93472542.2187;116838101.953;142968563.893;168092132.515;200529465.438;233186833.676;332638740.448;431191622.303;519604944.629;529916371.083;536508468.554;581793126.449;624192376.908;635724847.046;605764655.658;601953721.024;626353140.114;653798929.741;667869037.477;656755363.179
IMAGE-GNMoct2020;SSP3_oct2020;3;pointsources;Not specified;364587706.749;357449333.522;348427906.991;314000006.235;277377244.471;250667178.53;216337961.707;186243389.461;161318455.379;144665444.552;162765804.006;146507516.152;143240734.263;154046963.459;146223520.833;146118927.803;137739687.561;129974615.543;128266638.886;106772066.487;100972000.563
IMAGE-GNMoct2020;SSP3_oct2020;1;aquaculture;Not specified;3095743.89257;3899475.76959;4821413.13158;7263036.40246;9881353.12619;13328889.7342;14437711.9861;23058951.4546;26811155.0999;43764079.8828;47483124.0587;49292302.8434;47975175.1393;49717274.1812;51873604.5779;54921510.4009;57262922.7696;58432405.0922;61836067.4589;64978301.1248;67387457.3134
IMAGE-GNMoct2020;SSP3_oct2020;2;aquaculture;Not specified;1284142.49649;2030442.85786;2991717.02727;5680746.04097;12666336.0238;25246301.1702;39543592.5404;52809984.761;75778020.0697;100155319.173;104530166.562;100835342.328;103797975.536;111975647.773;110034473.367;104297111.519;104044651.317;110291951.46;118907811.857;124523744.061;123597111.587
IMAGE-GNMoct2020;SSP3_oct2020;3;aquaculture;Not specified;2126299.21388;3249695.12449;4621911.99959;5124826.96192;5384539.50226;4793407.25942;2928508.44266;2412095.84046;2313997.05224;1962406.83272;2092208.21789;1995665.55056;1994232.40793;2144247.35067;2048354.99646;2093773.46023;2002567.78024;1997047.68574;2083588.94553;1861555.97884;1915133.24267
IMAGE-GNMoct2020;SSP3_oct2020;1;veg_flooding;Not specified;155927231.194;157058739.673;141287485.979;144757324.112;140739319.295;134838740.107;136701777.951;123310820.674;148081708.532;145551209.258;136171133.698;133412658.466;125684352.383;155552786.806;144915551.525;131573883.783;128546544.352;115619047.389;141979935.424;132466942.52;127669667.621
IMAGE-GNMoct2020;SSP3_oct2020;2;veg_flooding;Not specified;134184918.585;158781534.78;119462056.52;107456195.389;122989167.895;114292415.801;148280743.889;134789617.591;125414242.235;113469619.74;100016426.946;126488186.265;115228148.691;108002618.148;99168317.7582;90029128.9409;122272506.468;106180959.191;99737069.2836;85526545.1827;75596258.245
IMAGE-GNMoct2020;SSP3_oct2020;3;veg_flooding;Not specified;32785590.4183;37324862.8526;34865904.7777;33574305.2019;34581275.3256;35320039.8418;31742371.0113;31777228.8565;35453185.6205;32413068.7525;32535487.9177;28255690.3662;28438143.5166;34375335.9328;34387963.792;33940774.5903;28815579.8963;28867152.3696;32673315.7136;30882489.68;30931597.7851
IMAGE-GNMoct2020;SSP4_oct2020;1;pload;Not specified;1510570372.51;1701295554.82;1735905302.63;1719644630.75;1783324352.06;1834366889.52;1823573860.97;1846214890.61;2073771043.14;2210849609.15;2367837513.34;2386291377.19;2517590224.45;2857234012.16;2929935647.81;2951899980.51;2822334472.47;2941414751.47;3299983148.04;3247349383.13;3319973016.31
