"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","C_price_cat","Cropland","Rum_feed_water","Mon_feed_water","Plant_food_water","Yield","rstand"
"575","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+mono (0.7+G+HY+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.49299933998909,-1,6.75771472876453,0.799382722110702,0.539325842696629,-1.38453117209286
"576","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-RICH+mono (0.7+G+YGC+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.53872203940013,-1,6.75771472876453,0.799382722110702,0.771535580524345,0.760802248547725
"590","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-MEAT+bau (0.7+G+Org+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",0.488310023515987,1.5982645349801,1.16738323825382,0.340853703311647,0.119850187265918,1.79271018337743
"592","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+mono (0.7+G+YGC+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.226796759217852,-1,4.44480990079633,0.340853703311647,0.771535580524345,2.17866311240627
"607","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-RICH+mono (0.7+R+YGC+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.410589635229652,-1,4.76677875966666,0.799382722110702,0.771535580524345,1.32215533373783
"618","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+bau (0.7+R+YGC+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.0886622825037757,-0.101676488633862,0.611147104452784,0.340853703311647,0.771535580524345,2.17734594641359
"621","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+mono (0.7+R+YGC+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.117033950897496,-1,3.04745665239685,0.340853703311647,0.771535580524345,2.37816762606894
"623","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-MEAT+mono (0.7+R+Org+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,"No",0.533995446961421,-1,3.04745665239685,0.340853703311647,0.119850187265918,1.70472573426989
"627","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-VEGET+rumi (0.7+R+Org+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.0682499637385016,-0.89206906704356,-1,0.544222259855059,0.119850187265918,-1.60350527826329
"640","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","Med","Agriculture",1549.1997,30.1996999999999,"No",0.386491369705274,0.191324925693234,0.164883580537116,0.0982916700609604,0.302189331595596,1.80471461637778
"643","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","BAU-2050 - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.0321717012984187,0.233728794739001,0.604468995418251,0.430919333797198,0.585489283015361,-2.36683246862812
"645","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","Pesc - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.256689347409504,-0.70981749065562,0.0800713178896275,0.0782770628592488,0.585489283015361,-1.84222837767063
"647","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","BAU-2050 - High yield gap closure","Agriculture",1549.1997,30.1996999999999,"No",0.516309229855906,1.08630818860541,1.08879137713706,0.498344852143663,0.585489283015361,1.83449309575008
"648","Tilman & Clark (2014)","2050","Tilman & Clark (2014)","Food","Med - high yield gap closure","Agriculture",1549.1997,30.1996999999999,"No",0.154923632505222,0.191324925693234,0.164883580537116,0.0982916700609604,0.585489283015361,1.60413584976377
"708","Weindl et al. (2017a)","2050","MAgPIE 3","Agriculture","SSP2-Baseline+Static WP","Agriculture",1389,-130,"No",0.332613390928726,1.0468160718251,0.716691999121685,0.39413928648416,0.39821596,1.98965360779699
"711","Weindl et al. (2017a)","2050","MAgPIE 3","Agriculture","SSP2-Moderation+Static WP","Agriculture",1389,-130,"No",0.334053275737941,1.27486623619365,0.789437274182467,0.39413928648416,0.40906935,1.91303894308527
