"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","C_price_cat","Cropland","Population","Rum_meat_kcal_FCR_FCF","Non_rum_kcal_FCR_FCF","Dairy_kcal_FCR_FCF","Vegetal_kcal","Yield","C_price","rstand"
"580","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-high yield_Diet-VEGET+rumi (0.7+R+HY+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.357327819698622,0.535202016862291,-1,-1,0.358001580817689,0.00587560652845176,0.539325842696629,0,-2.30260540958616
"585","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-VEGET+bau (0.7+R+FAO+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.220145006929872,0.535202016862291,-1,-0.785532218761159,-1,0.00587560652845176,0.411985018726592,0,-1.27638604518008
"586","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-VEGET+bau (0.7+R+Org+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,"No",-0.0122391395266834,0.535202016862291,-1,-0.785532218761159,-1,0.00587560652845176,0.119850187265918,0,-1.41931638544165
"594","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","BAU-2050 - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.0327005848131865,0.404558823529412,-0.152561112124413,0.142329511971951,-0.0326649281076438,0.0187678221988221,0.585489283015361,0,-2.02138169961312
"595","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Med - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.279361848515603,0.404558823529412,-0.710649870050379,-0.342930360015403,0.164539720507545,-0.253239859137695,0.585489283015361,0,-2.05758766910782
"596","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Pesc - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.296641215871685,0.404558823529412,-1,-0.231024504067693,-0.199287620027435,-0.232301955036866,0.585489283015361,0,-2.28281414324657
"597","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Veg - all measures","Agriculture",1549.1997,30.1996999999999,"No",-0.263207796782322,0.404558823529412,-1,-0.781954211382091,0.143718276320302,-0.182442629444244,0.585489283015361,0,-1.73471114734225
"598","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","BAU-2050 - High yield gap closure","Agriculture",1549.1997,30.1996999999999,"No",0.416279243897113,0.404558823529412,0.469002617725039,0.487151226524132,0.532488422809124,0.066772588689866,0.585489283015361,0,1.78772581455019
"599","Tilman & Clark (2014)",2050,"Tilman & Clark (2014)","Food","Med - high yield gap closure","Agriculture",1549.1997,30.1996999999999,"No",0.144034222744699,0.404558823529412,-0.498422712933754,-0.170640943602514,0.844907407407407,-0.218052208521146,0.585489283015361,0,1.81636973382734
"664","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","Agriculture",1389,-130,"No",0.352490535553469,0.337285016232746,0.945880452342488,0.260325630006107,1.44023876404494,0.0425146992311172,0.40906935,0,2.32604952291755
