"","Model","Scenario","Year","CO2_LUC","delta_Cropland","delta_Pasture","Carbon_price","C_price_cat"
"663","IMAGE 3.2","SSP2_SPA2_45I_RE",2045,4863.00201758248,5.58607999999999,1.92255999999998,20,"Yes"
"664","IMAGE 3.2","SSP2_SPA2_45I_RE",2050,4069.34524861216,6.28452000000002,1.97480000000005,17,"Yes"
"1715","MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450",2025,2542.18817124184,-3.26118449877717,-38.0272122222765,1456.40329279355,"Yes"
"1731","MESSAGEix-GLOBIOM_1.1","EN_NPi2020_500",2025,2605.95023333333,-4.28741999999997,-38.1682800000001,626.477187975633,"Yes"
"1990","MESSAGEix-GLOBIOM_1.1","NGFS2_Delayed Transition",2040,1605.27341,-3.61383540000002,-24.2166908,718.49943169235,"Yes"
"2039","MESSAGEix-GLOBIOM_1.2","COV_GreenPush_550",2045,-2057.0382777049,1.16083005056403,-15.379744528526,439.007690889353,"Yes"
"2040","MESSAGEix-GLOBIOM_1.2","COV_GreenPush_550",2050,-2649.43343607811,1.20251016858601,-15.669359957126,547.172136119804,"Yes"
"2075","MESSAGEix-GLOBIOM_1.2","COV_NoPolicyNoCOVID_550",2025,2625.03633333333,-3.03303999999998,-34.58144,320.15921353503,"Yes"
"2080","MESSAGEix-GLOBIOM_1.2","COV_NoPolicyNoCOVID_550",2050,-2744.69701549095,0.296580596220019,-14.47088284215,887.147168629627,"Yes"
"2099","MESSAGEix-GLOBIOM_1.2","COV_Restore_550",2025,2748.44946303826,-1.73494567799398,-32.50451533015,204.641042174152,"Yes"
"2104","MESSAGEix-GLOBIOM_1.2","COV_Restore_550",2050,-2672.27734664882,1.05280814419798,-14.961988022258,680.747733289865,"Yes"
"2123","MESSAGEix-GLOBIOM_1.2","COV_SelfReliance_550",2025,2729.54283044263,-2.00119624201998,-32.45506586487,214.153309842243,"Yes"
"2128","MESSAGEix-GLOBIOM_1.2","COV_SelfReliance_550",2050,-2678.23566094654,1.124786514164,-14.987967132188,733.53588879263,"Yes"
"2163","MESSAGEix-GLOBIOM_1.2","COV_SmartUse_550",2025,2752.00619141523,-1.82985185725597,-32.442413702298,176.993096846207,"Yes"
"2167","MESSAGEix-GLOBIOM_1.2","COV_SmartUse_550",2045,-2071.28974323495,0.76144907902999,-15.008990036668,482.728761843661,"Yes"
"2168","MESSAGEix-GLOBIOM_1.2","COV_SmartUse_550",2050,-2667.89071594624,1.10991662015604,-14.6586794666559,652.225805638117,"Yes"
"2172","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg1100",2030,606.7649,4.57192,-2.95511999999999,97.3595,"Yes"
"2180","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg1300",2030,610.0817,4.54818,-3.05953999999992,59.5559,"Yes"
