"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","Cropland","Rum_meat_crop_feed_water","Dairy_crop_feed_water","Mon_feed_water","Plant_food_water","Yield","rstand"
"370","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR+WR INT HD + PASTURE","Agriculture",1560,41,-0.0607058924017648,4.76652418848211,0.777644537026089,-0.206968848625858,0.322208277512408,0.719233370307219,1.01941189149786
"375","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR+WR ART HD + PASTURE","Agriculture",1560,41,-0.389153037491873,-1,4.84288038286848,-1,0.322208277512408,0.719233370307219,-2.07439172108476
"379","Roos et al. (2017) with pasture","2050","Roos et al. (2017) with pasture","Agriculture","YGR+WR EL HD + PASTURE","Agriculture",1560,41,-0.247219953902068,-1,-1,-0.880105884790241,0.417347778868509,0.719233370307219,1.21545118188019
"380","Searchinger et al. (2018)","2050","GlobAgri-WRR","Agriculture","BAU","Agriculture",1547,28,0.116992663781217,1.08091665446936,1.41568725353875,0.3841492803014,0.531476173363463,0.260944706777517,0.329796625475196
"382","Searchinger et al. (2018)","2050","GlobAgri-WRR","Agriculture","Highly ambitious","Agriculture",1547,28,-0.123699013849117,0.289362852995884,1.18084540767987,0.298229218915637,0.410726361727217,0.318432671081678,-0.862918457196834
"383","Searchinger et al. (2018)","2050","GlobAgri-WRR","Agriculture","Breakthrough technologies","Agriculture",1547,28,-0.260685002947771,0.24336267968408,1.10329822005376,0.252553364289847,0.367246459060557,0.469922737306843,-0.870322396763294
"576","Stevanovic et al. (2017)","2050","MAgPIE 3","Agriculture","BAU","Agriculture",1565.47,46.47,0.215331427414358,1.56101753522901,-1,0.427968689739436,0.427591365963213,0.331768445090296,1.10851092125085
"577","Stevanovic et al. (2017)","2050","MAgPIE 3","Agriculture","Incentive-based mitigation","Agriculture",1565.47,46.47,0.033227192403235,1.56101753522901,-1,0.427968689739436,0.427591365963213,0.596460913526497,1.1460460964415
"580","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+bau (0.7+G+HY+RICH+bau)","Agriculture",1341.34687562195,-177.65312437805,0.298972816044492,3.92642923815963,4.9425856459974,2.32048285989599,0.799382722110702,0.539325842696629,-2.1210050516809
"582","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+bau (0.7+G+FAO+RICH+bau)","Agriculture",1341.34687562195,-177.65312437805,0.369204436321672,3.92642923815963,4.9425856459974,2.32048285989599,0.799382722110702,0.411985018726592,-2.3372170716501
"583","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-RICH+mono (0.7+G+HY+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,0.400787076486688,-1,-1,6.75771472876453,0.799382722110702,0.539325842696629,-1.86509301584777
"585","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+mono (0.7+G+FAO+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,0.471779648335861,-1,-1,6.75771472876453,0.799382722110702,0.411985018726592,-2.07262764377768
"586","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-BAU+rumi (0.7+G+HY+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,0.210392594303449,4.88760398458447,3.56060406937877,-1,0.719453346702561,0.539325842696629,1.05769487565922
