"","Model","Scenario","Year","CO2_LUC","delta_Pasture","delta_Cropland","delta_Forest_net","Carbon_price","C_price_cat","rstand"
"952","IMAGE 3.0.1","CD-LINKS_NPi",2015,2634.88728328658,2.69407999999985,7.48584000000001,6.83343999999988,0,"No",-2.30685521926754
"960","IMAGE 3.0.1","CD-LINKS_NPi2020_1000",2015,2807.80594324762,0.742519999999968,6.80128,4.81539999999991,0,"No",-2.0981369438564
"966","IMAGE 3.0.1","CD-LINKS_NPi2020_1000",2045,3915.16053463845,-0.782319999999981,17.63148,18.8812400000001,477.3772418,"Yes",2.00708616777125
"968","IMAGE 3.0.1","CD-LINKS_NPi2020_1600",2015,2634.96781909578,2.69407999999985,7.48584000000001,6.83343999999988,0,"No",-2.30679470705425
"975","IMAGE 3.0.1","CD-LINKS_NPi2020_1600",2050,2861.74818899421,1.27839999999997,3.03384000000001,4.46200000000003,106.8662669,"Yes",2.01448150923141
"976","IMAGE 3.0.1","CD-LINKS_NPi2020_400",2015,2645.36483361531,-1.84843999999994,6.11893999999998,1.57146000000007,0,"No",-2.13842152342313
"977","IMAGE 3.0.1","CD-LINKS_NPi2020_400",2020,2076.38906706374,-1.99260000000004,4.21704,-0.185000000000036,0,"No",-1.92202632548365
"982","IMAGE 3.0.1","CD-LINKS_NPi2020_400",2045,1018.14711351511,-1.57852000000003,42.49148,23.09016,1012.071546,"Yes",-1.0908647429205
"983","IMAGE 3.0.1","CD-LINKS_NPi2020_400",2050,2997.53607091736,-1.75996000000005,45.31268,26.53256,1042.282637,"Yes",0.803865363055999
"984","IMAGE 3.0.1","CD-LINKS_NoPolicy",2015,2658.85329767398,6.32300000000005,5.78991999999998,7.60667999999996,0,"No",-2.25400669446773
"990","IMAGE 3.0.1","CD-LINKS_NoPolicy",2045,3815.83289091706,2.22064,8.34032000000002,6.87855999999997,0,"No",1.66457850309456
"991","IMAGE 3.0.1","CD-LINKS_NoPolicy",2050,3057.37838425218,2.50536000000002,1.76911999999998,1.60463999999997,0,"No",2.02566145884336
"1034","IMAGE 3.2","SSP1_SPA1_19I_LIRE_LB",2040,-4776.76589582079,-22.8425999999999,1.99096,0.394120000000019,695,"Yes",-2.23432848612262
"1111","IMAGE 3.2","SSP2-baseline",2035,5252.88248109887,3.58768,11.25484,8.1998,0,"No",2.43577237816669
"1128","IMAGE 3.2","SSP2_SPA1_19I_D_LB",2040,1164.85704988897,-10.9288,2.10547999999999,5.19932000000008,695,"Yes",1.95825926052966
"1129","IMAGE 3.2","SSP2_SPA1_19I_D_LB",2045,-176.197270568335,-12.20564,-5.56271999999999,-4.04787999999999,876,"Yes",2.23246409638452
"1144","IMAGE 3.2","SSP2_SPA1_19I_RE_LB",2040,1141.21402562105,-10.83388,2.54468000000002,5.73208000000009,695,"Yes",1.91217727320692
"1145","IMAGE 3.2","SSP2_SPA1_19I_RE_LB",2045,-307.315851279222,-12.21904,-4.71352000000002,-3.26288000000009,876,"Yes",2.08166545959845
"1168","IMAGE 3.2","SSP2_SPA2_19I_LIRE",2040,-2148.50178132118,-20.9208,19.39228,14.0030000000001,502.302903164724,"Yes",-1.71019103609766
"1176","IMAGE 3.2","SSP2_SPA2_19I_RE",2040,1599.3162966235,-10.87688,20.03984,22.0208000000001,1017.9406543692,"Yes",1.66473666576798
"1192","IMAGE 3.2","SSP2_SPA2_26I_LI",2040,-2585.45741959075,-20.97928,7.99459999999999,3.82307999999984,50,"Yes",-2.01315009433283
"1200","IMAGE 3.2","SSP2_SPA2_26I_LIRE",2040,-2507.21759123548,-20.99228,7.81268,3.57351999999992,51,"Yes",-1.94214640472126
"1224","IMAGE 3.2","SSP2_SPA2_34I_LI",2040,-2631.90636559412,-21.00116,6.29888000000001,1.9698800000001,6.34,"Yes",-2.01189362094185
"1232","IMAGE 3.2","SSP2_SPA2_34I_LIRE",2040,-2429.73083279764,-20.9992,9.146,4.88632000000007,6.59,"Yes",-2.03290245117313
"1256","IMAGE 3.2","SSP2_SPA2_45I_LI",2040,-2403.63296888268,-21.1172399999999,8.42847999999999,3.96595999999995,1.16,"Yes",-1.97683270684538
"1258","IMAGE 3.2","SSP2_SPA2_45I_LI",2050,-4324.42879219427,-25.09232,0.238920000000007,-10.8313200000003,3.31,"Yes",-1.8408789700747
